<?xml version="1.0" encoding="UTF-8"?>
Planete;Gain;Coordonnees;Liens2
Belsavis datacrons;Endurance +4;X: -992, Y: -450;http://www.swtor-spy.com/datacrons/belsavis/643/#Belsavis_datacron_Endurance4;   
Belsavis datacrons;Presence +4;X: -1915, Y: -476;http://www.swtor-spy.com/datacrons/belsavis/643/#Belsavis_datacron_Presence4;   
Belsavis datacrons;Aim +4;X: -785, Y: -1930;http://www.swtor-spy.com/datacrons/belsavis/643/#Belsavis_datacron_Aim4;   
Belsavis datacrons;Green Matrix Shard;X: -315, Y: -2172;http://www.swtor-spy.com/datacrons/belsavis/643/#Belsavis_datacron_GreenMatrixShard;   
Corellia datacrons;Strength +4;X: -2755, Y: -2005;http://www.swtor-spy.com/datacrons/corellia/970/#Corellia_datacron_Strength4;   
Corellia datacrons;REPUBLIC - Willpower +4;X: 703, Y: 1717;http://www.swtor-spy.com/datacrons/corellia/970/#Corellia_datacron_REPUBLICWillpower4;   
Corellia datacrons;Blue Matrix Shard;X: -2425, Y: -1063;http://www.swtor-spy.com/datacrons/corellia/970/#Corellia_datacron_BlueMatrixShard;   
Corellia datacrons;Presence +4;X: 3425, Y: -3209;http://www.swtor-spy.com/datacrons/corellia/970/#Corellia_datacron_Presence4;   
Corellia datacrons;Aim +4;X: 3140, Y: -1790;http://www.swtor-spy.com/datacrons/corellia/970/#Corellia_datacron_Aim4;   
Corellia datacrons;Cunning +4;X: -2658, Y: -3114;http://www.swtor-spy.com/datacrons/corellia/970/#Corellia_datacron_Cunning4;   
Corellia datacrons;Green Matrix Shard;X: 702, Y: -1884;http://www.swtor-spy.com/datacrons/corellia/970/#Corellia_datacron_GreenMatrixShard;   
Corellia datacrons;EMPIRE Willpower +4;X: -2404, Y: 2948;http://www.swtor-spy.com/datacrons/corellia/970/#Corellia_datacron_EMPIREWillpower4;   
Coruscant datacrons;Presence +2;X: 2320, Y: 1055;http://www.swtor-spy.com/datacrons/coruscant/41/#Coruscant_datacron_Presence2;   
Coruscant datacrons;Yellow Matrix Shard;X: 905, Y: 4557;http://www.swtor-spy.com/datacrons/coruscant/41/#Coruscant_datacron_YellowMatrixShard;   
Coruscant datacrons;Strength +2;X: -3087, Y: 3030;http://www.swtor-spy.com/datacrons/coruscant/41/#Coruscant_datacron_Strength2;   
Coruscant datacrons;Endurance +2;X: -3729, Y: 161;http://www.swtor-spy.com/datacrons/coruscant/41/#Coruscant_datacron_Endurance2;   
Coruscant datacrons;Cunning +2;X: 1021, Y: 3967;http://www.swtor-spy.com/datacrons/coruscant/41/#Coruscant_datacron_Cunning2;   
Dromund Kaas datacrons;Strength +2;X: 855, Y: 643;http://www.swtor-spy.com/datacrons/dromund-kaas/115/#Dromund Kaas_datacron_Strength2;   
Dromund Kaas datacrons;Presence +2;X: 581, Y: 798;http://www.swtor-spy.com/datacrons/dromund-kaas/115/#Dromund Kaas_datacron_Presence2;   
Dromund Kaas datacrons;Cunning +2;X: -1219, Y: 209;http://www.swtor-spy.com/datacrons/dromund-kaas/115/#Dromund Kaas_datacron_Cunning2;   
Dromund Kaas datacrons;Yellow Matrix Shard;X: -187, Y: 1738;http://www.swtor-spy.com/datacrons/dromund-kaas/115/#Dromund Kaas_datacron_YellowMatrixShard;   
Dromund Kaas datacrons;Endurance +2;X: -793, Y: 1450;http://www.swtor-spy.com/datacrons/dromund-kaas/115/#Dromund Kaas_datacron_Endurance2;   
Hoth datacrons;Presence +4;X: 1039, Y: -1243;http://www.swtor-spy.com/datacrons/hoth-2/802/#Hoth_datacron_Presence4;   
Hoth datacrons;Red Matrix Shard;X: -738, Y: 1705;http://www.swtor-spy.com/datacrons/hoth-2/802/#Hoth_datacron_RedMatrixShard;   
Hoth datacrons;Endurance +4;X: 2837, Y: -375;http://www.swtor-spy.com/datacrons/hoth-2/802/#Hoth_datacron_Endurance4;   
Hoth datacrons;Cunning +4;X: 3144, Y: 475;http://www.swtor-spy.com/datacrons/hoth-2/802/#Hoth_datacron_Cunning4;   
Hoth datacrons;Strength +4;X: -4102, Y: 115;http://www.swtor-spy.com/datacrons/hoth-2/802/#Hoth_datacron_Strength4;   
Hutta datacrons;Aim +2;X: -96, Y: 861;http://www.swtor-spy.com/datacrons/hutta/9/#Hutta_datacron_Aim2;   
Hutta datacrons;Blue Matrix Shard;X: -9, Y: 319;http://www.swtor-spy.com/datacrons/hutta/9/#Hutta_datacron_BlueMatrixShard;   
Hutta datacrons;Presence +2;X: 648, Y: -107;http://www.swtor-spy.com/datacrons/hutta/9/#Hutta_datacron_Presence2;   
Ilum datacrons;Aim +4;X: 920, Y: 1075;http://www.swtor-spy.com/datacrons/ilum-2/1633/#Ilum_datacron_Aim4;   
Ilum datacrons;Endurance +4;X: 103, Y: -80;http://www.swtor-spy.com/datacrons/ilum-2/1633/#Ilum_datacron_Endurance4;   
Ilum datacrons;Red Matrix Shard;X: 543, Y: 544;http://www.swtor-spy.com/datacrons/ilum-2/1633/#Ilum_datacron_RedMatrixShard;   
Ilum datacrons;Willpower +4;X: 304, Y: -1568;http://www.swtor-spy.com/datacrons/ilum-2/1633/#Ilum_datacron_Willpower4;   
Ilum datacrons;Yellow Matrix Shard;X: 311, Y: -377;http://www.swtor-spy.com/datacrons/ilum-2/1633/#Ilum_datacron_YellowMatrixShard;   
Korriban datacrons;Willpower +2;X: 529, Y: 65;http://www.swtor-spy.com/datacrons/korriban/7/#Korriban_datacron_Willpower2;   
Korriban datacrons;Endurance +2;X: 150, Y: 78;http://www.swtor-spy.com/datacrons/korriban/7/#Korriban_datacron_Endurance2;   
Korriban datacrons;Red Matrix Shard;X: -55, Y: 379;http://www.swtor-spy.com/datacrons/korriban/7/#Korriban_datacron_RedMatrixShard;   
Nar Shaddaa datacrons;Republic - Aim +3;X: -3362, Y: -3316;http://www.swtor-spy.com/datacrons/nar-shaddaa/94/#Nar Shaddaa_datacron_RepublicAim3;   
Nar Shaddaa datacrons;Republic - Presence +3;X: 3338, Y: -3287;http://www.swtor-spy.com/datacrons/nar-shaddaa/94/#Nar Shaddaa_datacron_RepublicPresence3;   
Nar Shaddaa datacrons;Cunning +3;X: 1958, Y: 3288;http://www.swtor-spy.com/datacrons/nar-shaddaa/94/#Nar Shaddaa_datacron_Cunning3;   
Nar Shaddaa datacrons;Republic - Strength +3;X: 2156, Y: 3103;http://www.swtor-spy.com/datacrons/nar-shaddaa/94/#Nar Shaddaa_datacron_RepublicStrength3;   
Nar Shaddaa datacrons;Yellow Matrix Shard;X: 1781, Y: 3084;http://www.swtor-spy.com/datacrons/nar-shaddaa/94/#Nar Shaddaa_datacron_YellowMatrixShard;   
Nar Shaddaa datacrons;Empire - Aim +3;X: -3699, Y: -1692;http://www.swtor-spy.com/datacrons/nar-shaddaa/94/#Nar Shaddaa_datacron_EmpireAim3;   
Nar Shaddaa datacrons;Empire - Presence +3;X: 2930, Y: 400;http://www.swtor-spy.com/datacrons/nar-shaddaa/94/#Nar Shaddaa_datacron_EmpirePresence3;   
Nar Shaddaa datacrons;Empire - Strength +3;X: 2017, Y: 2441;http://www.swtor-spy.com/datacrons/nar-shaddaa/94/#Nar Shaddaa_datacron_EmpireStrength3;   
Ord Mantell datacrons;Red Matrix Shard;X: 778, Y: 133;http://www.swtor-spy.com/datacrons/ord-mantell/8/#Ord Mantell_datacron_RedMatrixShard;   
Ord Mantell datacrons;Presence +2;X: -971, Y: 201;http://www.swtor-spy.com/datacrons/ord-mantell/8/#Ord Mantell_datacron_Presence2;   
Ord Mantell datacrons;Aim +2;X: -660, Y: -561;http://www.swtor-spy.com/datacrons/ord-mantell/8/#Ord Mantell_datacron_Aim2;   
Quesh datacrons;Cunning +4;X: 425, Y: -132;http://www.swtor-spy.com/datacrons/quesh/906/#Quesh_datacron_Cunning4;   
Quesh datacrons;Endurance +4;X: 207, Y: 773;http://www.swtor-spy.com/datacrons/quesh/906/#Quesh_datacron_Endurance4;   
Quesh datacrons;Strength +4;X: 557, Y: 1422;http://www.swtor-spy.com/datacrons/quesh/906/#Quesh_datacron_Strength4;   
Republic Fleet datacrons;Stats +10;X: 0, Y: 0;http://www.swtor-spy.com/datacrons/republic-fleet/2014/#Republic Fleet_datacron_Stats10;   
Taris datacrons;REPUBLIC Strength +2 or EMPIRE Presence +4;X: 1187, Y: -571;http://www.swtor-spy.com/datacrons/taris/69/#Taris_datacron_REPUBLICStrength2orEMPIREPresence4;   
Taris datacrons;REPUBLIC Aim +2 or EMPIRE Endurance +3;X: -1515, Y: -253;http://www.swtor-spy.com/datacrons/taris/69/#Taris_datacron_REPUBLICAim2orEMPIREEndurance3;   
Taris datacrons;REPUBLIC Cunning +2 or EMPIRE Aim + 4;X: 1047, Y: 454;http://www.swtor-spy.com/datacrons/taris/69/#Taris_datacron_REPUBLICCunning2orEMPIREAim4;   
Taris datacrons;REPUBLIC Willpower + 2;X: -362, Y: -227;http://www.swtor-spy.com/datacrons/taris/69/#Taris_datacron_REPUBLICWillpower2;   
Taris datacrons;REPUBLIC Green Matrix Shard;X: 1059, Y: 1039;http://www.swtor-spy.com/datacrons/taris/69/#Taris_datacron_REPUBLICGreenMatrixShard;   
Taris datacrons;EMPIRE Willpower +4;X: 444, Y: -772;http://www.swtor-spy.com/datacrons/taris/69/#Taris_datacron_EMPIREWillpower4;   
Taris datacrons;EMPIRE Cunning +4;X: -643, Y: 1606;http://www.swtor-spy.com/datacrons/taris/69/#Taris_datacron_EMPIRECunning4;   
Tatooine datacrons;Republic - Cunning +3;X: 2140, Y: -3671;http://www.swtor-spy.com/datacrons/tatooine/139/#Tatooine_datacron_RepublicCunning3;   
Tatooine datacrons;Willpower +3;X: 2115, Y: -596;http://www.swtor-spy.com/datacrons/tatooine/139/#Tatooine_datacron_Willpower3;   
Tatooine datacrons;Aim +3;X: -628, Y: -30;http://www.swtor-spy.com/datacrons/tatooine/139/#Tatooine_datacron_Aim3;   
Tatooine datacrons;Blue Matrix Shard;X: -2391, Y: -1381;http://www.swtor-spy.com/datacrons/tatooine/139/#Tatooine_datacron_BlueMatrixShard;   
Tatooine datacrons;Strength +3;X: -2391, Y: -1381;http://www.swtor-spy.com/datacrons/tatooine/139/#Tatooine_datacron_Strength3;   
Tatooine datacrons;Empire - Cunning +3;X: 726, Y: 3137;http://www.swtor-spy.com/datacrons/tatooine/139/#Tatooine_datacron_EmpireCunning3;   
Tython datacrons;Endurance +2;X: -33, Y: -102;http://www.swtor-spy.com/datacrons/tython/31/#Tython_datacron_Endurance2;   
Tython datacrons;Willpower + 2;X: -648, Y: -72;http://www.swtor-spy.com/datacrons/tython/31/#Tython_datacron_Willpower2;   
Tython datacrons;Blue Matrix Shard;X: -93, Y: 922;http://www.swtor-spy.com/datacrons/tython/31/#Tython_datacron_BlueMatrixShard;   
Voss datacrons;Willpower +4;X: -29, Y: 372;http://www.swtor-spy.com/datacrons/voss/858/#Voss_datacron_Willpower4;   
Voss datacrons;Presence +4;X: 2144, Y: -840;http://www.swtor-spy.com/datacrons/voss/858/#Voss_datacron_Presence4;   
Voss datacrons;Endurance +4;X: -1950, Y: -2220;http://www.swtor-spy.com/datacrons/voss/858/#Voss_datacron_Endurance4;   
Voss datacrons;Strength +4;X: 655, Y: 2049;http://www.swtor-spy.com/datacrons/voss/858/#Voss_datacron_Strength4;   
Voss datacrons;Cunning +4;X: 515, Y: 175;http://www.swtor-spy.com/datacrons/voss/858/#Voss_datacron_Cunning4;   
